;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;
t_schema_vers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
t_vo_acl;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
t_transfer;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;
t_channel_acl;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;
t_channel;0;2;2;0;1;0;0;3;0;0;0;0;0;0;0;0;0;
t_job_log;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
t_channel_vo_share;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;
t_logical;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
t_file;0;1;3;1;2;0;0;1;0;1;0;0;0;0;0;0;0;
t_agent;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;
t_job;0;3;1;0;0;0;2;4;0;0;0;0;0;1;0;0;0;
t_trace;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;
