;0;1;2;3;4;
nucleus_actionlog;0;0;0;0;0;
nucleus_activation;0;0;1;0;0;
nucleus_ban;0;0;0;0;0;
nucleus_blog;0;0;1;0;0;
nucleus_category;0;0;1;0;0;
nucleus_comment;0;0;1;0;0;
nucleus_config;0;0;1;0;0;
nucleus_item;0;0;1;0;0;
nucleus_karma;0;0;0;0;0;
nucleus_member;0;0;1;0;0;
nucleus_plugin;0;0;1;0;0;
nucleus_plugin_event;0;0;0;0;0;
nucleus_plugin_option;0;0;2;0;0;
nucleus_plugin_option_desc;0;0;3;0;0;
nucleus_skin;0;0;2;0;0;
nucleus_skin_desc;0;0;1;0;0;
nucleus_team;0;0;2;0;0;
nucleus_template;0;0;2;0;0;
nucleus_template_desc;0;0;1;0;0;
nucleus_tickets;0;0;2;0;0;
