#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Tags
73465,Extbase Book Translation,Suggestion,"",New,Should have,Change db fieldnames from l18n_* to l10n_*,Tobias Schächtelin,"",2016-02-16 09:16,"","",2016-02-16,"","",0,2016-02-16 09:16,"","",-656550,"",""
72729,Documentation,Suggestion,"",New,Should have,Use Markdown and Gitbook instead of rst and Sphinx,Ingo Pfennigstorf,"",2016-01-15 14:46,"","",2016-01-15,"","",0,2016-01-15 13:13,"","",-620650,"",""
68167,Security Guide,Suggestion,"",Needs Feedback,Should have,Create section with recommendations for developers,Stefan Neufeind,Stefan Neufeind,2015-11-19 17:23,Guidelines for Developers,"",2015-11-19,"","",0,2015-07-15 14:50,"","",-393800,"",""
61669,ReStructured Text Infrastructure,Suggestion,"",Resolved,Should have,Banner when documentation is using OpenOffice,Xavier Perseguers,Xavier Perseguers,2014-10-02 12:02,"","",2014-09-17,"","",100,2014-09-17 08:58,"","",-69600,"",""
27371,Documentation,Suggestion,"",Resolved,Should have,"What shall we do with the manuals, which are featured in the documentation section on typo3.org?",Chris topher,Chris topher,2015-03-08 16:12,Documentation on typo3.org,"",2011-06-11,"","",100,2011-06-11 02:13,"","",143600,"",""
30297,Documentation,Suggestion,"",Closed,Should have,Add a list of documentation ressources to typo3.org/documentation,Chris topher,"",2012-04-12 21:12,Documentation on typo3.org,"",2011-09-26,"","",100,2011-09-26 16:49,"","",285350,"",""
30506,Documentation,Suggestion,"",Closed,Should have,"Add outdated official manuals, which we will no longer update, to SVN",Chris topher,Chris topher,2011-10-03 16:29,"","",2011-10-01,"","",100,2011-10-01 15:55,"","",295550,"",""
31154,Documentation,Suggestion,"",Resolved,Should have,Remove the SVN folder doc_core_tstemplates,Chris topher,Chris topher,2011-10-20 21:21,"","",2011-10-20,"","",100,2011-10-20 21:09,"","",327050,"",""
32389,Security Guide,Suggestion,"",Closed,Should have,"Tone of voice in paragraph ""Difference between core and extensions""",Michael Schams,Michael Schams,2012-03-22 17:15,"",1.0.1,2011-12-08,"","",90,2011-12-08 11:43,"","",388100,"",""
35075,Documentation,Suggestion,"",Closed,Should have,INSTALL.TXT: Permissions and ownership for typo3/ext are not set,Oliver Salzburg,"",2014-03-29 14:16,"","",2012-03-21,"","",0,2012-03-21 11:14,"","",519050,"",""
50012,ReStructured Text Infrastructure,Suggestion,"",Resolved,Could have,The readability of the highlighted TypoScript can be improved by using different CSS,Michiel Roos,Martin Bless,2013-07-19 19:33,"","",2013-07-13,"","",0,2013-07-13 23:40,"","",1249600,"",""
52191,ReStructured Text Infrastructure,Suggestion,"",Resolved,Should have,Version switch quickly loose user friendliness,Xavier Perseguers,Xavier Perseguers,2014-03-10 20:57,"","",2013-09-23,"","",100,2013-09-23 14:56,"","",1357350,"",""
53048,TYPO3 CMS - What's New,Suggestion,"",Closed,Should have,"Move example ""Responsive Image Rendering"" to Wiki",Michael Schams,"",2014-03-27 23:52,TYPO3 6.2 - Slides (LaTeX),TYPO3 CMS 6.2,2013-10-23,"","",0,2013-10-23 09:31,"","",1399850,"",""
