table;dur;birth;death;chngs;s@s;s@e;sAvg
banlist;16;0;-;0;3;3;3.0
banner;16;0;-;0;14;14;14.0
cache;16;0;-;0;3;3;3.0
chatbox;16;0;-;1;6;6;6.0
comments;16;0;-;3;9;11;10.25
content;16;0;-;0;13;13;13.0
core;16;0;-;0;2;2;2.0
download;16;0;-;1;14;15;14.4375
download_category;16;0;-;0;6;6;6.0
flood;16;0;-;0;2;2;2.0
forum;16;0;-;0;11;11;11.0
forum_t;16;0;-;0;11;11;11.0
headlines;16;0;-;0;7;7;7.0
link_category;16;0;-;0;4;4;4.0
links;16;0;-;0;10;10;10.0
menus;16;0;-;1;5;6;5.0625
news;16;0;-;0;12;12;12.0
news_category;16;0;-;0;3;3;3.0
online;16;0;-;1;5;6;5.9375
parser;13;3;-;0;3;3;3.0
plugin;16;0;-;0;5;5;5.0
poll;16;0;-;1;27;28;27.1875
rate;16;0;-;0;6;6;6.0
rbinary;16;0;-;0;4;4;4.0
session;16;0;-;0;5;5;5.0
stat_counter;16;0;-;0;5;5;5.0
stat_info;16;0;-;0;3;3;3.0
stat_last;16;0;-;0;2;2;2.0
submitnews;16;0;-;2;8;10;9.4375
tmp;16;0;-;0;3;3;3.0
upload;16;0;-;1;13;14;13.75
user;16;0;-;1;34;35;34.5625
userclass_classes;16;0;-;1;3;4;3.375
wmessage;16;0;-;0;3;3;3.0
